NumId,Word,Category,Role,Definition1,Definition2,Example1,Example2,Example3,Example4,Example5,BengaliDef,BengaliEx1,BengaliEx2,BengaliEx3,RefWord,Level
1,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,His proclivity for exaggeration made it hard to trust him.,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0
1,Tendency,1,Common Noun,An inclination towards a particular kind of thought or action.,,She had a tendency to overthink every decision.,,,,,ঝোঁক; কোনো নির্দিষ্ট দিকে স্বাভাবিকভাবে ঝুঁকে পড়ার প্রবণতা।,,,,,0
1,Inclination,1,Common Noun,,,,,,,,,,,,,0
1,Propensity,1,Common Noun,A natural tendency to behave in a particular way.,"Propensity is more commonly used for event/situations, in cases of referring to a certain bias in probability of outcomes.",Her propensity for kindness was evident to all who knew her.,"The propensity of an accident will surge immediately if the authorities remove the 5th, seemingly superfluous pillar.",,,,,,,,,1
1,Predilection,1,Common Noun,,,,,,,,,,,,,1
2,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,,,,,,,,,,,2
2,Demotion,1,Common Noun,A reduction in rank or status.,,The demotion came as a shock to everyone in the department.,,,,,,,,,,0
2,Degradation,1,Common Noun,The process of reducing something to a lower or worse state.,,The degradation of the environment was visible even from a distance.,,,,,,,,,,0
-2,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,,,,,,,,,,,0
-2,Elevation,1,Common Noun,The raising of something to a higher position or status.,,The elevation of local talent was central to the festival's mission.,,,,,,,,,,0
3,Tamper,1,Transitive Verb,"To interfere with something without authorisation, often causing damage.",,,,,,,,,,,,0
3,Tinker,1,Transitive Verb,"To make small adjustments to something, often without clear purpose.",,He tinkered with the engine for hours but fixed nothing.,,,,,,,,,,3
3,Meddle,1,Intransitive Verb,To interfere in someone else's concerns without being asked.,,She had a habit of meddling in affairs that were not hers.,,,,,,,,,,0
3,Fiddle,1,Intransitive Verb,To touch or adjust something restlessly or without purpose.,,Stop fiddling with the settings are you are making it worse.,,,,,,,,,,3
3.1,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,
4,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,Regular exercise will strengthen both your body and your resolve.,,,,,,,,,,0
4,Fortify,1,Transitive Verb,To make a place or structure stronger and more resistant.,,They worked through the night to fortify the defences.,,,,,,,,,,1
4,Reinforce,1,Transitive Verb,"To support and strengthen something, especially a structure or argument.",,New evidence only reinforced his original theory.,,,,,,,,,,0
4,Bolster,1,Transitive Verb,To support or strengthen something that needs it.,,The new investment bolstered confidence in the company.,,,,,,,,,,0
-4,Weaken,1,Transitive Verb,To make something less strong or less powerful.,,,,,,,,,,,,0
-4,Undermine,1,Transitive Verb,To erode or damage something gradually and often covertly.,,,,,,,,,,,,0
-4,Debilitate,1,Transitive Verb,To make someone so weak that they are unable to function normally.,,The illness debilitated him for weeks after the initial diagnosis.,The monsoon storms debilitated the early-stage port infrastructure that the British managed to setup.,,,,দুর্বল ও অকেজো করে দেওয়া।,,,,,1
-4,Enfeeble,1,Transitive Verb,To make weak or feeble; to deprive of strength.,,Years of neglect had enfeebled the once proud institution.,,,,,,,,,,1
5,Hubris,1,Common Noun,"Excessive pride or self-confidence, often leading to downfall.",,"It was hubris, not incompetence, that destroyed his political career.",,,,,"অতিরিক্ত আত্মবিশ্বাস বা অহংকার, যা শেষ পর্যন্ত পতন ডেকে আনে।",,,,,1
5,Arrogance,1,Common Noun,An exaggerated sense of one's own importance or abilities.,,His arrogance in the meeting left the clients visibly annoyed.,,,,,ঔদ্ধত্য; নিজেকে অন্যের চেয়ে অনেক বড় মনে করার স্বভাব।,তার ঔদ্ধত্যপূর্ণ আচরণ সবাইকে বিরক্ত করেছিল।,,,,0
5,Conceit,1,Common Noun,Excessively high opinion of one's own merit or abilities.,,Her conceit blinded her to the obvious flaws in her plan.,,,,,আত্মম্ভরিতা; নিজের গুণ বা মেধা সম্পর্কে অতিরিক্ত উচ্চ ধারণা।,তার আত্মম্ভরিতা তাকে নিজের ভুল দেখতে দেয়নি।,,,,0
5,Vanity,1,Common Noun,Excessive pride in one's appearance or achievements.,,His vanity was most evident in the way he reacted to criticism.,Her vanity is all that there is about herself.,,,,"Vanity বলতে মূলত এমন এক প্রকার আত্মাভিমান ও অহমকে বোঝায়, যাহা মূলত একজন নারীর মধ্যে তার রূপ, যৌবন, ঐশ্বর্য এবং প্রতিপত্তিকে কেন্দ্র করে গড়ে ওঠে, এবং স্বভাবগতভাবে সাধারণ অহংকার রূপে প্রকাশ পায়।",,,,,0
-5,Humility,1,Common Noun,A modest and respectful view of one's own importance.,,True humility is rare among those who have tasted great success.,,,,,বিনয়; নিজের সম্পর্কে অতিরিক্ত গর্ব না করার স্বভাব।,,,,,0
-5,Modesty,1,Common Noun,The quality of not boasting about one's abilities or achievements.,,,,,,,,,,,,0
6,Squander,1,Transitive Verb,To waste something valuable in a reckless or foolish manner.,,He squandered his inheritance on ventures that never paid off.,,,,,"অপচয় করা; অর্থ, সময় বা সুযোগ বেহিসাবিভাবে নষ্ট করা।",সে পুরো সম্পত্তি এমন ব্যবসায় অপচয় করল যেগুলো কখনো কাজে আসেনি।,প্রতিভা থাকলেই হবে না — সেটা অপচয় না করে সঠিকভাবে ব্যবহার করতে হবে।,সুযোগ একবার অপচয় হলে আর ফিরে আসে না।,,0
6,Fritter,1,Transitive Verb,,,,,,,,,,,,,3
6,Dissipate,1,Transitive Verb,"To waste energy, resources, or attention on worthless things.",,His talent was dissipated by years of poor choices.,,,,,,,,,,1
-6,Conserve,1,Transitive Verb,To use resources carefully to avoid waste.,,We must conserve water during periods of drought.,,,,,,,,,,0
-6,Preserve,1,Transitive Verb,To maintain something in its original state or in good condition.,,Efforts to preserve the old library were finally bearing fruit.,,,,,,,,,,0
