uid,numid,word,category,role,definition1,definition2,example1,example2,example3,example4,example5,bengali_def,bengali_ex1,bengali_ex2,bengali_ex3,refword,usage,review_note,comment,creation_date,active
1,4.0,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,Regular exercise will strengthen both your body and your resolve.,,,,,Bengali translation of Strengthen,,,,,0,False,,2025-05-30 14:08:15,True
2,200.0,Let off the hook,2,Idiomatic Expression,The meaning or usage of Let off the hook.,,An example sentence using Let off the hook in context.,,,,,Bengali translation of Let off the hook,,,,,3,True,,2025-08-09 14:08:15,True
3,200.1,Buckle down,3,Phrasal Verb,To start working hard on something.,,The team buckled down after the manager's firm warning.,,,,,Bengali translation of Buckle down,,,,,3,False,,2025-09-27 14:08:15,True
4,4.0,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,Regular exercise will strengthen both your body and your resolve.,,,,,,,,,,0,False,,2025-07-03 14:08:15,True
5,200.2,Ahead of the curve,2,Idiomatic Expression,More advanced than current trends; at the cutting edge.,,The company had been ahead of the curve on digital payments for years.,,,,,,,,,,3,False,,2025-06-12 14:08:15,True
6,200.29999999999998,Break out,3,Phrasal Verb,To escape from a place; to start suddenly.,,An example sentence using Break out in context.,,,,,,,,,,0,True,,2025-07-16 14:08:15,True
7,4.0,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,,,,,,Bengali translation of Strengthen,,,,,0,False,,2026-04-13 14:08:15,True
8,200.39999999999998,Cut to the chase,2,Idiomatic Expression,To get to the most important part of something without delay.,,,,,,,Bengali translation of Cut to the chase,,,,,3,False,,2026-02-05 14:08:15,True
9,200.49999999999997,Suited to,3,Appropriate Preposition,The meaning or usage of Suited to.,,,,,,,Bengali translation of Suited to,,,,,0,False,,2025-12-25 14:08:15,True
10,4.0,Strengthen,1,Transitive Verb,,,Regular exercise will strengthen both your body and your resolve.,,,,,Bengali translation of Strengthen,,,,,0,False,,2025-08-30 14:08:15,True
11,200.59999999999997,Stand firm,2,Idiomatic Expression,,,An example sentence using Stand firm in context.,,,,,Bengali translation of Stand firm,,,,,0,False,,2025-12-13 14:08:15,True
12,200.69999999999996,Look up,3,Phrasal Verb,,,Look up the word if you are unsure of its meaning.,She promised to look him up the next time she was in the city.,,,,Bengali translation of Look up,,,,,0,False,,2026-03-01 14:08:15,True
13,4.0,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,,,,,,,,,,,0,False,,2025-11-12 14:08:15,True
14,200.79999999999995,Mundane preoccupations,2,Idiomatic Expression,Concerns and worries of ordinary everyday life.,,,,,,,,,,,,2,False,,2025-07-15 14:08:15,True
15,200.89999999999995,Call off,3,Phrasal Verb,To cancel an event or arrangement that had been planned.,,,,,,,,,,,,0,False,,2026-03-25 14:08:15,True
16,4.0,Strengthen,1,Transitive Verb,,,Regular exercise will strengthen both your body and your resolve.,,,,,,,,,,0,True,,2025-05-27 14:08:15,True
17,200.99999999999994,Read the riot act,2,Idiomatic Expression,,,She read the riot act to the team after the third consecutive failure.,,,,,,,,,,3,False,,2025-08-20 14:08:15,True
18,201.09999999999994,Acquitted of,3,Appropriate Preposition,,,She was acquitted of all charges and walked free.,,,,,,,,,,2,False,,2025-04-16 14:08:15,True
19,4.0,Strengthen,1,Transitive Verb,,,,,,,,Bengali translation of Strengthen,,,,,0,False,,2025-06-03 14:08:15,True
20,201.19999999999993,Take the plunge,2,Idiomatic Expression,,,,,,,,Bengali translation of Take the plunge,,,,,3,True,,2025-12-30 14:08:15,True
21,201.29999999999993,Give in,3,Phrasal Verb,,,,,,,,Bengali translation of Give in,,,,,0,False,,2025-09-27 14:08:15,True
22,2.0,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,An example sentence using Relegation in context.,,,,,Bengali translation of Relegation,,,,,2,False,,2025-06-19 14:08:15,True
23,34.0,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,An example sentence using Beat around the bush in context.,,,,,Bengali translation of Beat around the bush,,,,,0,False,,2026-03-07 14:08:15,True
24,36.0,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,An example sentence using Come across in context.,,,,,Bengali translation of Come across,,,,,0,False,,2026-03-10 14:08:15,True
25,2.0,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,An example sentence using Relegation in context.,,,,,,,,,,2,True,,2025-07-04 14:08:15,True
26,34.0,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,An example sentence using Beat around the bush in context.,,,,,,,,,,0,False,,2025-05-15 14:08:15,True
27,36.0,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,An example sentence using Come across in context.,,,,,,,,,,0,True,,2025-12-09 14:08:15,True
28,2.0,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,,,,,,Bengali translation of Relegation,,,,,2,False,,2025-05-12 14:08:15,True
29,34.0,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,,,,,,Bengali translation of Beat around the bush,,,,,0,False,,2026-01-29 14:08:15,True
30,36.0,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,,,,,,Bengali translation of Come across,,,,,0,False,,2025-07-09 14:08:15,True
31,2.0,Relegation,1,Common Noun,,,An example sentence using Relegation in context.,,,,,Bengali translation of Relegation,,,,,2,False,,2025-11-20 14:08:15,True
32,34.0,Beat around the bush,2,Idiomatic Expression,,,An example sentence using Beat around the bush in context.,,,,,Bengali translation of Beat around the bush,,,,,0,True,,2026-03-04 14:08:15,True
33,36.0,Come across,3,Phrasal Verb,,,An example sentence using Come across in context.,,,,,Bengali translation of Come across,,,,,0,True,,2025-06-26 14:08:15,True
34,2.0,Relegation,1,Common Noun,The action of assigning an inferior rank or position to someone.,,,,,,,,,,,,2,False,,2025-04-16 14:08:15,True
35,34.0,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,,,,,,,,,,,0,True,,2026-01-08 14:08:15,True
36,36.0,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,,,,,,,,,,,0,False,,2026-04-06 14:08:15,True
37,2.0,Relegation,1,Common Noun,,,An example sentence using Relegation in context.,,,,,,,,,,2,False,,2025-09-04 14:08:15,True
38,34.0,Beat around the bush,2,Idiomatic Expression,,,An example sentence using Beat around the bush in context.,,,,,,,,,,0,True,,2025-08-15 14:08:15,True
39,36.0,Come across,3,Phrasal Verb,,,An example sentence using Come across in context.,,,,,,,,,,0,False,,2026-02-05 14:08:15,True
40,2.0,Relegation,1,Common Noun,,,,,,,,Bengali translation of Relegation,,,,,2,True,,2026-03-21 14:08:15,True
41,34.0,Beat around the bush,2,Idiomatic Expression,,,,,,,,Bengali translation of Beat around the bush,,,,,0,False,,2026-01-01 14:08:15,True
42,36.0,Come across,3,Phrasal Verb,,,,,,,,Bengali translation of Come across,,,,,0,False,,2025-10-02 14:08:15,True
43,1.0,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,His proclivity for exaggeration made it hard to trust him.,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,True,,2026-03-15 14:08:15,True
44,201.39999999999992,Break new ground,2,Idiomatic Expression,To do something innovative or pioneering.,,An example sentence using Break new ground in context.,,,,,Bengali translation of Break new ground,,,,,0,False,,2025-11-07 14:08:15,True
45,201.49999999999991,Immune to,3,Appropriate Preposition,The meaning or usage of Immune to.,,An example sentence using Immune to in context.,,,,,Bengali translation of Immune to,,,,,0,False,,2025-06-21 14:08:15,True
46,1.0,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,His proclivity for exaggeration made it hard to trust him.,,,,,,,,,,0,False,,2025-11-18 14:08:15,True
47,201.5999999999999,Beat around the bush,2,Idiomatic Expression,To avoid coming to the main point of what one is saying.,,An example sentence using Beat around the bush in context.,,,,,,,,,,0,False,,2025-09-22 14:08:15,True
48,201.6999999999999,Look into,3,Phrasal Verb,To investigate or examine something.,,The committee agreed to look into the matter before the next session.,,,,,,,,,,0,False,,2026-01-14 14:08:15,True
49,1.0,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,False,,2025-05-31 14:08:15,True
50,201.7999999999999,Stand firm,2,Idiomatic Expression,To refuse to change one's position or be moved by pressure.,,,,,,,Bengali translation of Stand firm,,,,,0,False,,2025-08-08 14:08:15,True
51,201.8999999999999,Come across,3,Phrasal Verb,The meaning or usage of Come across.,,,,,,,Bengali translation of Come across,,,,,0,True,,2026-01-14 14:08:15,True
52,1.0,Proclivity,1,Common Noun,,,His proclivity for exaggeration made it hard to trust him.,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,False,,2025-08-29 14:08:15,True
53,201.9999999999999,Take the plunge,2,Idiomatic Expression,,,An example sentence using Take the plunge in context.,,,,,Bengali translation of Take the plunge,,,,,3,False,,2025-06-05 14:08:15,True
54,202.09999999999988,Back down,3,Phrasal Verb,,,An example sentence using Back down in context.,,,,,Bengali translation of Back down,,,,,3,False,,2026-04-13 14:08:15,True
55,1.0,Proclivity,1,Common Noun,A natural tendency or inclination towards something.,,,,,,,,,,,,0,False,,2025-11-07 14:08:15,True
56,202.19999999999987,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,,,,,,3,True,,2025-10-30 14:08:15,True
57,202.29999999999987,Acquitted of,3,Appropriate Preposition,The correct preposition following 'acquitted'.,,,,,,,,,,,,2,False,,2026-02-14 14:08:15,True
58,1.0,Proclivity,1,Common Noun,,,His proclivity for exaggeration made it hard to trust him.,,,,,,,,,,0,False,,2026-03-22 14:08:15,True
59,202.39999999999986,Act promptly,2,Idiomatic Expression,,,An example sentence using Act promptly in context.,,,,,,,,,,0,False,,2026-03-22 14:08:15,True
60,202.49999999999986,Give up,3,Phrasal Verb,,,An example sentence using Give up in context.,,,,,,,,,,0,False,,2026-02-14 14:08:15,True
61,1.0,Proclivity,1,Common Noun,,,,,,,,কিছু করার/হওয়ার/ঘটার সাধারণ প্রবনতা,,,,,0,False,,2026-03-26 14:08:15,True
62,202.59999999999985,Mundane preoccupations,2,Idiomatic Expression,,,,,,,,Bengali translation of Mundane preoccupations,,,,,2,False,,2025-12-27 14:08:15,True
63,202.69999999999985,Qualified for,3,Appropriate Preposition,,,,,,,,Bengali translation of Qualified for,,,,,0,False,,2025-08-29 14:08:15,True
64,1.1,Disposition,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,Bengali translation of Disposition,,,,,0,False,,2025-09-30 14:08:15,True
65,202.79999999999984,Drag one's feet,2,Idiomatic Expression,To act slowly or reluctantly; to delay doing something.,,He had been dragging his feet on the application for months.,,,,,Bengali translation of Drag one's feet,,,,,3,False,,2025-05-02 14:08:15,True
66,202.89999999999984,Break out,3,Phrasal Verb,To escape from a place; to start suddenly.,,An example sentence using Break out in context.,,,,,Bengali translation of Break out,,,,,0,False,,2025-10-20 14:08:15,True
67,1.1,Disposition,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,,,,,,0,False,,2025-10-27 14:08:15,True
68,202.99999999999983,Read the riot act,2,Idiomatic Expression,To firmly warn someone that their behaviour is unacceptable.,,She read the riot act to the team after the third consecutive failure.,,,,,,,,,,3,False,,2025-11-28 14:08:15,True
69,203.09999999999982,Back down,3,Phrasal Verb,To withdraw a claim or position; to concede.,,An example sentence using Back down in context.,,,,,,,,,,3,True,,2025-07-10 14:08:15,True
70,1.1,Disposition,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,,,,,,Bengali translation of Disposition,,,,,0,False,,2025-08-24 14:08:15,True
71,203.19999999999982,Go through the motions,2,Idiomatic Expression,To do something without real effort or interest; to perform mechanically.,,,,,,,Bengali translation of Go through the motions,,,,,3,False,,2025-05-22 14:08:15,True
72,203.2999999999998,Take up,3,Phrasal Verb,To begin a new hobby or activity.,To accept an offer or challenge.,,,,,,Bengali translation of Take up,,,,,0,True,,2025-08-31 14:08:15,True
73,1.1,Disposition,1,Common Noun,,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,Bengali translation of Disposition,,,,,0,False,,2025-06-02 14:08:15,True
74,203.3999999999998,Take the plunge,2,Idiomatic Expression,,,An example sentence using Take the plunge in context.,,,,,Bengali translation of Take the plunge,,,,,3,False,,2025-05-04 14:08:15,True
75,203.4999999999998,Immune to,3,Appropriate Preposition,,,An example sentence using Immune to in context.,,,,,Bengali translation of Immune to,,,,,0,True,,2025-05-19 14:08:15,True
76,1.1,Disposition,1,Common Noun,A person's inherent qualities of mind and character; a tendency.,,,,,,,,,,,,0,False,,2025-05-28 14:08:15,True
77,203.5999999999998,Sit on the fence,2,Idiomatic Expression,The meaning or usage of Sit on the fence.,,,,,,,,,,,,3,True,,2025-08-08 14:08:15,True
78,203.6999999999998,Look down on,3,Phrasal Verb,The meaning or usage of Look down on.,,,,,,,,,,,,0,True,,2026-04-03 14:08:15,True
79,1.1,Disposition,1,Common Noun,,,Her disposition towards caution made her a reliable rather than a bold leader.,,,,,,,,,,0,False,,2025-12-18 14:08:15,True
80,203.79999999999978,Stand firm,2,Idiomatic Expression,,,An example sentence using Stand firm in context.,,,,,,,,,,0,False,,2025-11-02 14:08:15,True
81,203.89999999999978,Qualified for,3,Appropriate Preposition,,,He was fully qualified for the role but was passed over anyway.,,,,,,,,,,0,False,,2025-09-27 14:08:15,True
82,1.1,Disposition,1,Common Noun,,,,,,,,Bengali translation of Disposition,,,,,0,False,,2025-04-30 14:08:15,True
83,203.99999999999977,Stand firm,2,Idiomatic Expression,,,,,,,,Bengali translation of Stand firm,,,,,0,False,,2025-07-31 14:08:15,True
84,204.09999999999977,Averse to,3,Appropriate Preposition,,,,,,,,Bengali translation of Averse to,,,,,1,False,,2025-09-24 14:08:15,True
85,-2.0,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,An example sentence using Promotion in context.,,,,,Bengali translation of Promotion,,,,,0,False,,2026-02-14 14:08:15,True
86,-34.0,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,Bengali translation of Get straight to the point,,,,,0,False,,2025-10-06 14:08:15,True
87,39.0,Obsessed with,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,An example sentence using Obsessed with in context.,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-09-02 14:08:15,True
88,-2.0,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,An example sentence using Promotion in context.,,,,,,,,,,0,False,,2025-08-25 14:08:15,True
89,-34.0,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,,,,,,0,False,,2025-08-01 14:08:15,True
90,39.0,Obsessed with,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,An example sentence using Obsessed with in context.,,,,,,,,,,0,True,,2025-05-14 14:08:15,True
91,-2.0,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,,,,,,Bengali translation of Promotion,,,,,0,False,,2025-09-16 14:08:15,True
92,-34.0,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,,,,,,Bengali translation of Get straight to the point,,,,,0,False,,2025-11-04 14:08:15,True
93,39.0,Obsessed with,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-11-15 14:08:15,True
94,-2.0,Promotion,1,Common Noun,,,An example sentence using Promotion in context.,,,,,Bengali translation of Promotion,,,,,0,False,,2026-01-29 14:08:15,True
95,-34.0,Get straight to the point,2,Idiomatic Expression,,,"She got straight to the point, which everyone in the room appreciated.",,,,,Bengali translation of Get straight to the point,,,,,0,True,,2025-11-06 14:08:15,True
96,39.0,Obsessed with,3,Appropriate Preposition,,,An example sentence using Obsessed with in context.,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-11-26 14:08:15,True
97,-2.0,Promotion,1,Common Noun,The act of raising someone to a higher position or rank.,,,,,,,,,,,,0,False,,2025-11-02 14:08:15,True
98,-34.0,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,,,,,,,,,,,0,False,,2025-10-25 14:08:15,True
99,39.0,Obsessed with,3,Appropriate Preposition,The meaning or usage of Obsessed with.,,,,,,,,,,,,0,False,,2025-05-08 14:08:15,True
100,-2.0,Promotion,1,Common Noun,,,An example sentence using Promotion in context.,,,,,,,,,,0,False,,2025-12-01 14:08:15,True
101,-34.0,Get straight to the point,2,Idiomatic Expression,,,"She got straight to the point, which everyone in the room appreciated.",,,,,,,,,,0,False,,2025-07-07 14:08:15,True
102,39.0,Obsessed with,3,Appropriate Preposition,,,An example sentence using Obsessed with in context.,,,,,,,,,,0,True,,2026-01-22 14:08:15,True
103,-2.0,Promotion,1,Common Noun,,,,,,,,Bengali translation of Promotion,,,,,0,False,,2025-10-04 14:08:15,True
104,-34.0,Get straight to the point,2,Idiomatic Expression,,,,,,,,Bengali translation of Get straight to the point,,,,,0,False,,2026-01-16 14:08:15,True
105,39.0,Obsessed with,3,Appropriate Preposition,,,,,,,,Bengali translation of Obsessed with,,,,,0,False,,2025-11-09 14:08:15,True
106,104.0,Placate,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,Small concessions were enough to placate the more moderate critics.,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,True,,2025-09-03 14:08:15,True
107,204.19999999999976,Out of the ordinary,2,Idiomatic Expression,Different from what is usual or expected; remarkable.,,An example sentence using Out of the ordinary in context.,,,,,Bengali translation of Out of the ordinary,,,,,0,False,,2026-01-27 14:08:15,True
108,214.19999999999976,Look down on,3,Phrasal Verb,The meaning or usage of Look down on.,,An example sentence using Look down on in context.,,,,,Bengali translation of Look down on,,,,,0,True,,2026-04-04 14:08:15,True
109,104.0,Placate,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,Small concessions were enough to placate the more moderate critics.,,,,,,,,,,0,True,,2026-01-05 14:08:15,True
110,224.19999999999976,Pull one's weight,2,Idiomatic Expression,The meaning or usage of Pull one's weight.,,An example sentence using Pull one's weight in context.,,,,,,,,,,0,False,,2025-12-27 14:08:15,True
111,234.19999999999976,Immune to,3,Appropriate Preposition,The meaning or usage of Immune to.,,An example sentence using Immune to in context.,,,,,,,,,,0,False,,2025-08-23 14:08:15,True
112,104.0,Placate,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,False,,2025-12-20 14:08:15,True
113,244.19999999999976,Catch red-handed,2,Idiomatic Expression,To catch someone in the very act of doing something wrong.,,,,,,,Bengali translation of Catch red-handed,,,,,3,False,,2026-01-30 14:08:15,True
114,254.19999999999976,Give in,3,Phrasal Verb,The meaning or usage of Give in.,,,,,,,Bengali translation of Give in,,,,,0,True,,2025-07-06 14:08:15,True
115,104.0,Placate,1,Transitive Verb,,,Small concessions were enough to placate the more moderate critics.,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,False,,2025-04-28 14:08:16,True
116,264.19999999999976,Break new ground,2,Idiomatic Expression,,,An example sentence using Break new ground in context.,,,,,Bengali translation of Break new ground,,,,,0,False,,2025-07-27 14:08:16,True
117,274.19999999999976,Knuckle down,3,Phrasal Verb,,,An example sentence using Knuckle down in context.,,,,,Bengali translation of Knuckle down,,,,,3,False,,2025-05-03 14:08:16,True
118,104.0,Placate,1,Transitive Verb,To reduce the anger or displeasure of someone; to appease.,,,,,,,,,,,,0,False,,2025-05-12 14:08:16,True
119,284.19999999999976,Run-of-the-mill,2,Idiomatic Expression,Ordinary; lacking any special or distinctive quality.,,,,,,,,,,,,3,True,,2026-03-09 14:08:16,True
120,294.19999999999976,Give away,3,Phrasal Verb,The meaning or usage of Give away.,,,,,,,,,,,,0,False,,2025-07-06 14:08:16,True
121,104.0,Placate,1,Transitive Verb,,,Small concessions were enough to placate the more moderate critics.,,,,,,,,,,0,True,,2025-04-14 14:08:16,True
122,304.19999999999976,Break new ground,2,Idiomatic Expression,,,An example sentence using Break new ground in context.,,,,,,,,,,0,False,,2026-04-10 14:08:16,True
123,314.19999999999976,Absorbed in,3,Appropriate Preposition,,,An example sentence using Absorbed in in context.,,,,,,,,,,0,False,,2026-01-23 14:08:16,True
124,104.0,Placate,1,Transitive Verb,,,,,,,,রাগ বা ক্ষোভ প্রশমিত করা।,,,,,0,False,,2025-08-30 14:08:16,True
125,324.19999999999976,Act promptly,2,Idiomatic Expression,,,,,,,,Bengali translation of Act promptly,,,,,0,False,,2026-03-27 14:08:16,True
126,334.19999999999976,Bring about,3,Phrasal Verb,,,,,,,,Bengali translation of Bring about,,,,,0,False,,2025-10-19 14:08:16,True
127,3.1,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,6,True,,2026-02-11 14:08:16,True
128,344.19999999999976,Get straight to the point,2,Idiomatic Expression,To say exactly what one means without unnecessary preamble.,,"She got straight to the point, which everyone in the room appreciated.",,,,,Bengali translation of Get straight to the point,,,,,0,False,,2025-08-03 14:08:16,True
129,344.2999999999998,Knuckle down,3,Phrasal Verb,The meaning or usage of Knuckle down.,,An example sentence using Knuckle down in context.,,,,,Bengali translation of Knuckle down,,,,,3,False,,2026-04-09 14:08:16,True
130,3.1,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,,,,,,5,False,,2026-02-10 14:08:16,True
131,344.3999999999998,Hold one's ground,2,Idiomatic Expression,The meaning or usage of Hold one's ground.,,An example sentence using Hold one's ground in context.,,,,,,,,,,0,False,,2025-04-22 14:08:16,True
132,344.49999999999983,Catch up,3,Phrasal Verb,The meaning or usage of Catch up.,,An example sentence using Catch up in context.,,,,,,,,,,0,False,,2025-05-30 14:08:16,True
133,3.1,Fondle,1,Transitive Verb,"To touch, toy and explore something clumsily with hands",,,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,6,False,,2026-02-06 14:08:16,True
134,344.59999999999985,Ahead of the curve,2,Idiomatic Expression,More advanced than current trends; at the cutting edge.,,,,,,,Bengali translation of Ahead of the curve,,,,,3,False,,2026-01-04 14:08:16,True
135,344.6999999999999,Look up,3,Phrasal Verb,To search for information in a reference source.,To visit someone after a period of absence.,,,,,,Bengali translation of Look up,,,,,0,True,,2025-12-26 14:08:16,True
136,3.1,Fondle,1,Transitive Verb,,,Did you expect a 5yr old to not fondle the cheeks of her baby brother???,,,,,"অলস, উদ্দেশ্যহীনভাবে হাত দিয়ে কিছু ঘাটা",,,,,4,False,,2025-04-26 14:08:16,True
137,344.7999999999999,Pull one's weight,2,Idiomatic Expression,,,An example sentence using Pull one's weight in context.,,,,,Bengali translation of Pull one's weight,,,,,0,True,,2025-11-09 14:08:16,True
