uid,numid,word,category,role,definition1,definition2,example1,example2,example3,example4,example5,bengali_def,bengali_ex1,bengali_ex2,bengali_ex3,refword,usage,review_note,comment,creation_date,active
1,4.00,Strengthen,1,Transitive Verb,To make something stronger or more secure.,,Regular exercise will strengthen both your body and your resolve.,,,,,Bengali translation of Strengthen,,,,,0,False,,2025-05-30 14:08:15,True
2,200.00,Let off the hook,2,Idiomatic Expression,The meaning or usage of Let off the hook.,,An example sentence using Let off the hook in context.,,,,,Bengali translation of Let off the hook,,,,,3,True,,2025-08-09 14:08:15,True
3,200.10,Buckle down,3,Phrasal Verb,To start working hard on something.,,The team buckled down after the manager's firm warning.,,,,,Bengali translation of Buckle down,,,,,3,False,,2025-09-27 14:08:15,True
4,4.00,Admonish,1,Transitive Verb,To make something stronger or more secure.,,Regular exercise will strengthen both your body and your resolve.,,,,,,,,,,0,False,,2025-07-03 14:08:15,True
5,200.20,Ahead of the curve,2,Idiomatic Expression,More advanced than current trends; at the cutting edge.,,The company had been ahead of the curve on digital payments for years.,,,,,,,,,,3,False,,2025-06-12 14:08:15,True
6,200.30,Break out,3,Phrasal Verb,To escape from a place; to start suddenly.,,An example sentence using Break out in context.,,,,,,,,,,0,True,,2025-07-16 14:08:15,True
7,4.00,Beguile,1,Transitive Verb,To make something stronger or more secure.,,,,,,,Bengali translation of Strengthen,,,,,0,False,,2026-04-13 14:08:15,True
8,200.40,Cut to the chase,2,Idiomatic Expression,To get to the most important part of something without delay.,,,,,,,Bengali translation of Cut to the chase,,,,,3,False,,2026-02-05 14:08:15,True
9,200.50,Suited to,3,Appropriate Preposition,The meaning or usage of Suited to.,,,,,,,Bengali translation of Suited to,,,,,0,False,,2025-12-25 14:08:15,True
10,4.00,Coerce,1,Transitive Verb,,,Regular exercise will strengthen both your body and your resolve.,,,,,Bengali translation of Strengthen,,,,,0,False,,2025-08-30 14:08:15,True
11,200.60,Stand firm,2,Idiomatic Expression,,,An example sentence using Stand firm in context.,,,,,Bengali translation of Stand firm,,,,,0,False,,2025-12-13 14:08:15,True
12,200.70,Look up,3,Phrasal Verb,,,Look up the word if you are unsure of its meaning.,She promised to look him up the next time she was in the city.,,,,Bengali translation of Look up,,,,,0,False,,2026-03-01 14:08:15,True
13,4.00,Denounce,1,Transitive Verb,To make something stronger or more secure.,,,,,,,,,,,,0,False,,2025-11-12 14:08:15,True
14,200.80,Mundane preoccupations,2,Idiomatic Expression,Concerns and worries of ordinary everyday life.,,,,,,,,,,,,2,False,,2025-07-15 14:08:15,True
15,200.90,Call off,3,Phrasal Verb,To cancel an event or arrangement that had been planned.,,,,,,,,,,,,0,False,,2026-03-25 14:08:15,True
16,4.00,Exacerbate,1,Transitive Verb,,,Regular exercise will strengthen both your body and your resolve.,,,,,,,,,,0,True,,2025-05-27 14:08:15,True
17,201.00,Read the riot act,2,Idiomatic Expression,,,She read the riot act to the team after the third consecutive failure.,,,,,,,,,,3,False,,2025-08-20 14:08:15,True
